model,oof_rmse,fold_mean,fold_std
svr_C60_g0.01,23.036903150615107,22.964080741848633,1.830273873680389
svr_C35_g0.01,23.48176416196103,23.44084389520551,1.385671547865522
svr_C20_g0.01,24.40806011314925,24.388027695623776,0.9886878195846015
svr_C60_g0.005,24.608980753612894,24.59856911631183,0.7157731216802208
svr_C60_g0.02,24.621905746265274,24.46725141216439,2.755331361544469
svr_C35_g0.02,24.806804716294558,24.65405033114105,2.7487019667359087
svr_C20_g0.02,25.242888473276366,25.107864641088707,2.6074032367541906
svr_C12_g0.01,25.52880681914659,25.500754840441513,1.196444807337182
svr_C12_g0.02,25.749852804909118,25.61843820912447,2.5981807480922536
krr_a0.003_g0.01,25.93568315373857,25.8073519929768,2.576867043856751
svr_C35_g0.005,26.00835609151404,25.990934694228372,0.9517879508333612
svr_C8_g0.02,26.338961548013952,26.201873751743108,2.6837860059015353
svr_C8_g0.01,26.68478695162685,26.650290192371006,1.3564244601629138
krr_a0.003_g0.005,26.945365534921052,26.9117243657169,1.346036951272384
svr_C20_g0.005,27.530393027709838,27.502184034307135,1.245958909144366
poly2_elasticnet,27.672197170302145,27.6250748164299,1.6142297292295569
krr_a0.003_g0.02,28.60321510125536,28.227097520779513,4.623297490004904
krr_a0.01_g0.01,28.635374803069766,28.499844906572445,2.782719966794986
svr_C12_g0.005,28.83370567879258,28.79869974941978,1.420378792436917
poly2_scale_ridgecv,29.669789358164095,29.637156845555587,1.3911630636863057
svr_C8_g0.005,29.80504991255479,29.76199842829841,1.6013899724442373
interactions2_scale_ridgecv,29.902269203922053,29.87355128699891,1.310204963687308
poly2_robust_ridgecv,30.218381976059927,30.187956320388587,1.3556926087332757
krr_a0.01_g0.02,30.655126208822214,30.319476375378827,4.523949071515277
krr_a0.01_g0.005,30.68139250116701,30.613606693964563,2.038364785291207
krr_a0.03_g0.01,32.81653497985572,32.64688040688681,3.3325917515537826
svr_C20_g0.04,33.026970109731984,32.57366427122615,5.453178025204634
svr_C35_g0.04,33.096669562935006,32.6522289841943,5.405689458510384
svr_C12_g0.04,33.20920443694727,32.772190900264945,5.369801014148459
svr_C60_g0.04,33.220883531428754,32.80023833043038,5.269864142055279
svr_C8_g0.04,33.6302228089868,33.211691653994436,5.289179866679936
krr_a0.03_g0.02,33.90629399655003,33.57520737576505,4.726755996966311
krr_a0.03_g0.005,36.21772804047714,36.11266937885512,2.7566165397937747
krr_a0.003_g0.04,37.35082243759526,36.56098907348812,7.640550682578607
krr_a0.01_g0.04,39.32004239954518,38.579345853576044,7.596038955415915
krr_a0.1_g0.02,40.1163163538276,39.74569071901351,5.440487760201171
krr_a0.1_g0.01,40.319804617726355,40.10430819580562,4.163064802217789
krr_a0.03_g0.04,42.29926779441129,41.629708526249814,7.496360714560368
krr_a0.1_g0.04,47.74668564520937,47.11643580350983,7.732235593680517
krr_a0.1_g0.005,47.91933456689924,47.81480084868256,3.163454620387483
poly3_scale_ridgecv,51.781516853103525,46.45585130449615,22.873114505523464
poly2_quantile_ridgecv,79.05059685020849,78.99855008272263,2.868091212245255
